Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Plaid Patchwork Faux Fur Throw Blanket, Cozy Farmhouse Plush Couch Throw (60&quot; x 70&quot;), Rustic Home Decor Gift",https://www.etsy.com/listing/1399122524/handmade-plaid-patchwork-faux-fur-throw,EtiwandaSoftDesigns,https://www.etsy.com/shop/EtiwandaSoftDesigns,59.99,17,1020,0,810,195,39 Mo.,2976,5,70739,Home & Living,44,100,1.15,5494,"gifts for her,patchwork blanket,farmhouse blanket,plaid throw blanket,plush throw blanket,cozy couch blanket,rustic farmhouse,living room decor,housewarming gift,cozy home decor,cabin blanket,soft throw blanket,faux fur blanket",gifts for her,patchwork blanket,farmhouse blanket,plaid throw blanket,plush throw blanket,cozy couch blanket,rustic farmhouse,living room decor,housewarming gift,cozy home decor,cabin blanket,soft throw blanket,faux fur blanket
"Cherry Blossom Branch Woven Throw Blanket | Floral Throw, Boho Home Decor | Rustic Farmhouse",https://www.etsy.com/listing/4469146286/cherry-blossom-branch-woven-throw,WillowandWeaveGoods,https://www.etsy.com/shop/WillowandWeaveGoods,58.43,9,526,0,4,1,3 Mo.,110,0,1213,Home & Living,5,96,0.33,9,"woven blanket,floral blanket,vintage throw,boho blanket,bedroom throw,living room,gift for her,soft blanket,spring decor,bridal shower,rustic farmhouse,rustic decor,gift for women",woven blanket,floral blanket,vintage throw,boho blanket,bedroom throw,living room,gift for her,soft blanket,spring decor,bridal shower,rustic farmhouse,rustic decor,gift for women
Highland Cow Blanket Woven Cotton Rustic Throw Cozy Bed Blanket Living Room Soft Farmhouse Decor Housewarming Gift,https://www.etsy.com/listing/4428864500/highland-cow-blanket-woven-cotton-rustic,WildflowerMaggie,https://www.etsy.com/shop/WildflowerMaggie,52.00,5,260,100,6,1,5 Mo.,1,0,38,Home & Living,9,0,15.79,25,"cow woven blanket,woven throw,farmhouse decor,housewarming gift,bedroom blanket,living room throw,rustic blanket,cow decor,soft woven throw,gift for her,highland cow blanket,highland cow throw,rustic throw blanket",cow woven blanket,woven throw,farmhouse decor,housewarming gift,bedroom blanket,living room throw,rustic blanket,cow decor,soft woven throw,gift for her,highland cow blanket,highland cow throw,rustic throw blanket
Southwestern Woven Throw Blanket Rustic Geometric Cotton Sofa Textile for Western Boho Living Room Decor,https://www.etsy.com/listing/4366227024/boho-cotton-throw-blanket-southwestern,TimelessBohoChic,https://www.etsy.com/shop/TimelessBohoChic,39.00,3,117,0,9,3,8 Mo.,61,0,1293,Home & Living,37,48,0.7,2146,"southwestern throw,rustic blanket,geometric cotton,western textile,sofa layer,boho living room,diamond pattern,woven cotton throw,cabin accent,couch styling,warm home decor,desert color throw,desert woven look",southwestern throw,rustic blanket,geometric cotton,western textile,sofa layer,boho living room,diamond pattern,woven cotton throw,cabin accent,couch styling,warm home decor,desert color throw,desert woven look
Kentucky Derby Horse Racing Jockeys Woven Blanket | Equestrian Track Scene Throw,https://www.etsy.com/listing/4440328364/kentucky-derby-horse-racing-jockeys,SapperDesignGroup,https://www.etsy.com/shop/SapperDesignGroup,72.78,1,97,0,1,0,4 Mo.,2,0,64,Home & Living,6,0,1.56,53,"woven blanket,horse blanket,race day decor,equestrian decor,barn house cozy,rustic throw,sports fan gift,living room throw,gift for him,gift for her,stadium vibes,country home,derby party",woven blanket,horse blanket,race day decor,equestrian decor,barn house cozy,rustic throw,sports fan gift,living room throw,gift for him,gift for her,stadium vibes,country home,derby party
"Sunflower Woven Blanket – Rustic Boho Floral Throw Blanket, Vintage Botanical Tapestry, Yellow Sunflowers Home Decor, blues, yellows, greens",https://www.etsy.com/listing/4389034096/sunflower-woven-blanket-rustic-boho,MulberryCircle,https://www.etsy.com/shop/MulberryCircle,78.80,0,0,0,0,0,2 Mo.,0,0,0,Home & Living,65,0,0.0,91,"cozy home decor,gift for her,wall art blanket,living room decor,gift for mom,birthday gift idea,artistic woven throw,cozy relaxing space,luxury comfy throw,rustic sunflowers,vintage tapestry,botanical throw,autumn vibes",cozy home decor,gift for her,wall art blanket,living room decor,gift for mom,birthday gift idea,artistic woven throw,cozy relaxing space,luxury comfy throw,rustic sunflowers,vintage tapestry,botanical throw,autumn vibes
Vintage Dog Tapestry Woven Blanket | Rustic Boho Pet Pattern,https://www.etsy.com/listing/4405321120/vintage-dog-tapestry-woven-blanket,MiraVault,https://www.etsy.com/shop/MiraVault,40.14,0,0,0,0,0,1 Mo.,0,0,4,Home & Living,9,0,0.0,0,"woven blanket,dog blanket,boho throw,pet lover gift,vintage rug look,cozy home decor,living room throw,bohemian blanket,throw for couch,rustic blanket,housewarming gift,gift for dog mom,earth tone decor",woven blanket,dog blanket,boho throw,pet lover gift,vintage rug look,cozy home decor,living room throw,bohemian blanket,throw for couch,rustic blanket,housewarming gift,gift for dog mom,earth tone decor
Running Appaloosa Horse Woven Blanket | Southwestern Horse Tapestry Throw,https://www.etsy.com/listing/4492630438/running-appaloosa-horse-woven-blanket,DovetailContent,https://www.etsy.com/shop/DovetailContent,68.95,0,0,0,0,0,1 Mo.,0,0,0,Home & Living,11,0,0.0,34,"woven blanket,horse blanket,western decor,rustic throw,equestrian gift,cowboy decor,farmhouse throw,animal tapestry,gift for her,gift for him,living room art,boho blanket,country home",woven blanket,horse blanket,western decor,rustic throw,equestrian gift,cowboy decor,farmhouse throw,animal tapestry,gift for her,gift for him,living room art,boho blanket,country home
blanket Vintage Label Collage Woven Blanket | Retro Patchwork Travel Decal Throw,https://www.etsy.com/listing/4454451198/blanket-vintage-label-collage-woven,HADELLO,https://www.etsy.com/shop/HADELLO,199.98,0,0,0,0,0,3 Mo.,0,0,0,Home & Living,4,0,0.0,0,"woven blanket,vintage patchwork,cozy throw,home decor,library blanket,reading nook,gift for him,gift for her,housewarming,rustic decor,cottagecore vibe,living room,bedroom throw",woven blanket,vintage patchwork,cozy throw,home decor,library blanket,reading nook,gift for him,gift for her,housewarming,rustic decor,cottagecore vibe,living room,bedroom throw
"Vintage Floral Woven Blanket | Tapestry Throw, Cottagecore Floral Pattern",https://www.etsy.com/listing/4441228072/vintage-floral-woven-blanket-tapestry,PixelThreadByAmmad,https://www.etsy.com/shop/PixelThreadByAmmad,99.00,0,0,0,0,0,4 Mo.,6,0,85,Home & Living,5,0,0.0,4,"woven blanket,floral throw,vintage throw,boho blanket,cozy living,cottagecore decor,bedroom throw,living room rug,soft home gift,rustic blanket,neutral decor,accent blanket,throw for couch",woven blanket,floral throw,vintage throw,boho blanket,cozy living,cottagecore decor,bedroom throw,living room rug,soft home gift,rustic blanket,neutral decor,accent blanket,throw for couch
Floral Bouquet Blanket Farmhouse Style Decor Home Decor Cozy Blanket Floral Throw Blanket Gift for Her Housewarming Gift for Everyone,https://www.etsy.com/listing/1812791130/floral-bouquet-blanket-farmhouse-style,MissHazelPrintCo,https://www.etsy.com/shop/MissHazelPrintCo,25.24,0,0,0,0,0,4 Mo.,0,0,0,Home & Living,7,0,0.0,6,"floral bouquet,farmhouse decor,velveteen blanket,plush throw blanket,cozy home,gift for her,housewarming gift,living room decor,velveteen throw,spring home decor,rustic blanket,warm and cozy,country chic",floral bouquet,farmhouse decor,velveteen blanket,plush throw blanket,cozy home,gift for her,housewarming gift,living room decor,velveteen throw,spring home decor,rustic blanket,warm and cozy,country chic
Abstract Striped Landscape Woven Blanket | Multicolor Fringe Throw,https://www.etsy.com/listing/4478240358/abstract-striped-landscape-woven-blanket,DesignsByMoC,https://www.etsy.com/shop/DesignsByMoC,58.99,0,0,0,0,0,2 Mo.,1,0,4,Home & Living,4,0,0.0,0,"woven blanket,boho throw,cozy blanket,living room,colorful throw,textile art,bedroom decor,bohemian decor,rustic blanket,gift for mom,housewarming,earthy tones,striped blanket",woven blanket,boho throw,cozy blanket,living room,colorful throw,textile art,bedroom decor,bohemian decor,rustic blanket,gift for mom,housewarming,earthy tones,striped blanket
