Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Oyster Shell Wine Bottle Stopper, Unique Hostess Gifts, Beach Themed Wedding Gift, Bridesmaid Gifts, Housewarming Gift, Beach Decor, Favors",https://www.etsy.com/listing/1585690346/oyster-shell-wine-bottle-stopper-unique,DaniellaLeighArt,https://www.etsy.com/shop/DaniellaLeighArt,30.00,20,600,0,1035,195,31 Mo.,4153,6,90610,Weddings,86,100,1.14,9574,"blue chinoiserie,unique hostess gifts,bridesmaid gifts,housewarming gift,oyster wine stopper,blue and white,shell bottle stopper,wine bottle stopper,oyster shell art,coastal decor,christmas ornament,unique wedding gift,beach wedding favors",blue chinoiserie,unique hostess gifts,bridesmaid gifts,housewarming gift,oyster wine stopper,blue and white,shell bottle stopper,wine bottle stopper,oyster shell art,coastal decor,christmas ornament,unique wedding gift,beach wedding favors
RARE l Bronze and Blue Stemless Wine Set l Handcrafted,https://www.etsy.com/listing/1795992283/rare-l-bronze-and-blue-stemless-wine-set,StarsOn7th,https://www.etsy.com/shop/StarsOn7th,50.00,10,500,0,400,73,20 Mo.,920,4,26103,Home & Living,38,100,1.53,1546,"fall theme,stemless wine glasse,anniversary gift,birthday gift,housewarming gift,handmade,secret santa,wine lovers,unique glassware,marbled glassware,one of a kind,gift for her,gift for him",fall theme,stemless wine glasse,anniversary gift,birthday gift,housewarming gift,handmade,secret santa,wine lovers,unique glassware,marbled glassware,one of a kind,gift for her,gift for him
"ntegrity Bottles Tribal Sea Turtle Design Stemless Wine Glass, Handmade, Handblown, Hand Etched Gifts, Sand Carved, 18oz (Crackle Teal)",https://www.etsy.com/listing/4452269454/ntegrity-bottles-tribal-sea-turtle,DouglaMitchell2,https://www.etsy.com/shop/DouglaMitchell2,54.00,6,324,100,8,2,3 Mo.,2,1,93,Art & Collectibles,4,0,8.6,80,"engraved glassware,wine glass,xmas,housewarming gift,engraved wine glass,gift idea,christmas,groomsman gift,sea turtle engaved,marine life glass,water animals,ocean creatures,vintage design theme",engraved glassware,wine glass,xmas,housewarming gift,engraved wine glass,gift idea,christmas,groomsman gift,sea turtle engaved,marine life glass,water animals,ocean creatures,vintage design theme
"Beach Wine Charms, Nautical Wine Charms, Shell Wine Charms, Glass Tags, Glass Markers, Hostess Gifts, Housewarming Gifts, Holiday Gift, 8/pk",https://www.etsy.com/listing/995898965/beach-wine-charms-nautical-wine-charms,PixieWineCharms,https://www.etsy.com/shop/PixieWineCharms,17.50,12,210,0,360,65,61 Mo.,274,1,8105,Home & Living,166,42,4.44,10899,"beach wine charms,nautical wine charms,shell wine charms,nautical gifts,hostess gifts,housewarming gifts,hdm tateam,wine charms,wine glass charms,beach theme gifts,nautical theme gifts,glass markers,glass identifier",beach wine charms,nautical wine charms,shell wine charms,nautical gifts,hostess gifts,housewarming gifts,hdm tateam,wine charms,wine glass charms,beach theme gifts,nautical theme gifts,glass markers,glass identifier
SEA TURTLE Engraved 17oz Wine Glass | Ocean Animals Marine Life Water Sea Creatures Boats Ships Beach | Great Wine Drinking Gift Idea!,https://www.etsy.com/listing/1728086194/sea-turtle-engraved-17oz-wine-glass,LUMEN8Goods,https://www.etsy.com/shop/LUMEN8Goods,25.95,6,156,100,34,7,23 Mo.,75,0,1209,Home & Living,40,25,2.81,5608,"engraved glassware,wine glass,xmas,housewarming gift,engraved wine glass,gift idea,christmas,groomsman gift,sea turtle engaved,marine life glass,water animals,ocean creatures,vintage design theme",engraved glassware,wine glass,xmas,housewarming gift,engraved wine glass,gift idea,christmas,groomsman gift,sea turtle engaved,marine life glass,water animals,ocean creatures,vintage design theme
"Wine Veil: Organza Drink Cover with Charms, Set of 5",https://www.etsy.com/listing/1773495249/wine-veil-organza-drink-cover-with,swagbagsplus,https://www.etsy.com/shop/swagbagsplus,50.00,3,150,100,12,4,21 Mo.,53,0,2614,Home & Living,151,39,0.46,2233,"organza wine veils,wine covers,outdoor wine,bugs off wine,wine veil protects,chic wine veils,wine veils charms,themed charms,shop swagbagsplus,housewarming gift,great guest gift,al fresco dining,wedding shower gift",organza wine veils,wine covers,outdoor wine,bugs off wine,wine veil protects,chic wine veils,wine veils charms,themed charms,shop swagbagsplus,housewarming gift,great guest gift,al fresco dining,wedding shower gift
"African Safari Wine Glass Charms, Africa Themed Gift, Hostess Gift, Safari Themed Gift",https://www.etsy.com/listing/647394351/african-safari-wine-glass-charms-africa,LifeBaubles,https://www.etsy.com/shop/LifeBaubles,18.95,7,133,0,47,7,92 Mo.,60,0,1326,Home & Living,120,0,3.54,6966,"africa gift,safari gift,wine glass charms,africa wine charms,animal themed gift,african themed gift,africa themed gift,safari themed gift,wine glass charm,hostess gift,wine charms,housewarming gift,party favors",africa gift,safari gift,wine glass charms,africa wine charms,animal themed gift,african themed gift,africa themed gift,safari themed gift,wine glass charm,hostess gift,wine charms,housewarming gift,party favors
"Colorado Wine Glass Charms, Hostess Gift Ideas, Colorado Themed Gift, Wine Lover Gift, Wine Gift",https://www.etsy.com/listing/702619619/colorado-wine-glass-charms-hostess-gift,LifeBaubles,https://www.etsy.com/shop/LifeBaubles,18.95,7,133,0,67,10,85 Mo.,80,0,2030,Home & Living,120,0,3.3,6966,"wine gifts,centennial state,colorado souvenir,colorado themed,colorado gift,colorado state,hostess gift ideas,wine glass charms,wine glass charm,wine charms,mothers day gift,housewarming gifts,party favors",wine gifts,centennial state,colorado souvenir,colorado themed,colorado gift,colorado state,hostess gift ideas,wine glass charms,wine glass charm,wine charms,mothers day gift,housewarming gifts,party favors
Teal Resin Wine Glass Ocean Wave Design - Coastal Beach Lover Gift for Home Decor,https://www.etsy.com/listing/4315767472/teal-resin-wine-glass-hand-poured-ocean,ArtfulNests,https://www.etsy.com/shop/ArtfulNests,24.00,2,122,0,26,5,11 Mo.,71,0,1585,Home & Living,130,45,1.64,2926,"resin wine glass,beach glassware,wedding gift beach,ocean lover gift,teal home accents,ocean relax vibe,unique wine gift,beach theme decor,stemware nautical,housewarming tumbler,tableware seaside,anniversary romantic,turquoise vibe",resin wine glass,beach glassware,wedding gift beach,ocean lover gift,teal home accents,ocean relax vibe,unique wine gift,beach theme decor,stemware nautical,housewarming tumbler,tableware seaside,anniversary romantic,turquoise vibe
"Sea Glass Wine Glass, Coastal Gift, Beach House Decor, Ocean Resin Gin Glass, Unique Wedding Gift",https://www.etsy.com/listing/4338465400/handmade-resin-sea-glasses-wine-gin,PebbleandPourStudio,https://www.etsy.com/shop/PebbleandPourStudio,22.66,5,113,0,8,6,10 Mo.,73,1,2620,Home & Living,75,69,0.31,112,"sea glass wine glass,coastal wine glass,beach house decor,ocean themed glass,resin wine glass,coastal gift,beach lover gift,ocean gift idea,unique wine glass,handmade wine glass,seaside home decor,wedding gift idea,housewarming gift",sea glass wine glass,coastal wine glass,beach house decor,ocean themed glass,resin wine glass,coastal gift,beach lover gift,ocean gift idea,unique wine glass,handmade wine glass,seaside home decor,wedding gift idea,housewarming gift
Glass Beach Ocean Themed Large Stemless Wine Glass - Blue Teal and Gold - Custom Wine Glass - Mom Gift - Hand painted - Housewarming,https://www.etsy.com/listing/889559638/glass-beach-ocean-themed-large-stemless,RusticAndRoseTexas,https://www.etsy.com/shop/RusticAndRoseTexas,27.50,4,110,100,2536,596,66 Mo.,10541,9,189803,Home & Living,151,100,1.34,7473,"stemless wine glass,beach wine glass,beach glass,mother gift,hostess gift,housewarming gift,ocean wine glass,beach themed,beach decor,beach house,beach barware,wine gift,unique gift",stemless wine glass,beach wine glass,beach glass,mother gift,hostess gift,housewarming gift,ocean wine glass,beach themed,beach decor,beach house,beach barware,wine gift,unique gift
